Field,Type,Source,Description
year,int,ALA Occurrences,Observation/reporting year.
CommonName,str,ALA Occurrences,Species common name as provided.
ScientificName,str,ALA Occurrences,Canonical scientific (binomial) name used for joining.
EPBCThreatStatus,str,ALA Occurrences,"EPBC label (e.g., Present, Vulnerable, Endangered, Critically Endangered)."
occurrenceCount,int,ALA Occurrences,Count of recorded occurrences in your dataset window.
taxon_class_ET,category,EltonTraits,High taxonomic class from EltonTraits: Aves (birds) or Mammalia (mammals).
BodyMass_g_ET,float,EltonTraits,Adult body mass (grams) sourced from EltonTraits BodyMass-Value.
size_bucket,category,Derived from ElonTraits,"Bucketed body mass: Small (<100g), Medium (100–999g), Large (1,000–9,999g), Very Large (≥10,000g)."
diet_top,category,Derived from ElonTraits,"Dominant diet component inferred from diet shares (e.g., invertebrates, seed, fruit, fish)."
foraging_top,category,Derived from ElonTraits,"Dominant foraging stratum (e.g., ground, canopy, aerial, water_surface, underwater)."
activity_top,category,Derived from ElonTraits,"Most-likely activity state: diurnal, nocturnal, crepuscular (or non-nocturnal fallback for birds)."
diet_diversity,int,Derived (EltonTraits diet shares),Count of diet categories with proportion > 0.20 (breadth of diet).
eats_insects,bool,Derived (Diet-Inv),True if Diet-Inv > 0.20 (insectivore component).
eats_fruit,bool,Derived (Diet-Fruit),True if Diet-Fruit > 0.20 (frugivore component).
eats_fish,bool,Derived (Diet-Vfish),True if Diet-Vfish > 0.20 (piscivore component).
omnivore_flag,bool,Derived (diet shares),True if any plant diet > 0.20 AND any animal diet > 0.20.
foraging_diversity,int,Derived (EltonTraits foraging shares),Count of foraging strata with proportion > 0.20.
forages_canopy,bool,Derived (ForStrat-canopy),True if ForStrat-canopy > 0.20.
forages_understory,bool,Derived (ForStrat-understory),True if ForStrat-understory > 0.20.
forages_ground,bool,Derived (ForStrat-ground),True if ForStrat-ground > 0.20.
forages_aerial,bool,Derived (ForStrat-aerial),True if ForStrat-aerial > 0.20.
forages_underwater,bool,Derived (ForStrat-watbelowsurf),True if ForStrat-watbelowsurf > 0.20.
forages_water_surf,bool,Derived (ForStrat-wataroundsurf),True if ForStrat-wataroundsurf > 0.20.
activity_diversity,int,Derived (EltonTraits activity shares),"Count of activity states > 0.30 among Nocturnal, Diurnal, Crepuscular."
is_crepuscular,bool,Derived (Activity-Crepuscular),True if Activity-Crepuscular > 0.30.
is_cathemeral,bool,Derived (Activity-Diurnal & Activity-Nocturnal),True if both Activity-Diurnal > 0.30 AND Activity-Nocturnal > 0.30.
